"host_response_time","host_response_rate","host_is_superhost","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","count_summary","count_description","count_space","count_neighborhood","count_notes","count_transit","count_host","count_amenities","count_total"
"within a day",83,"f",1,1,"Montlake","Capitol Hill",47.63766673,-122.3153043,"House","Entire home/apt",8,3.5,5,4,"Real Bed",415,0,150,1,0,2,4,12,21,223,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,41,164,109,22,0,32,36,15,404
"within an hour",96,"f",2,2,"Montlake","Capitol Hill",47.63650431,-122.3193048,"House","Entire home/apt",7,1,2,3,"Real Bed",129,0,40,4,20,1,22,52,82,167,136,84,9,8,9,9,9,9,"t","moderate","f","f",2,5.49,39,180,83,35,50,25,48,9,460
"within an hour",100,"f",2,2,"Montlake","Capitol Hill",47.6397289,-122.3012181,"House","Entire home/apt",5,1,2,3,"Real Bed",130,0,75,4,25,2,20,45,75,313,4,80,8,7,8,8,8,8,"t","moderate","f","t",2,4,43,177,62,19,57,67,91,21,516
"within an hour",100,"f",2,2,"Montlake","Capitol Hill",47.63713057,-122.3027138,"House","Private room",2,0,1,1,"Real Bed",55,0,15,1,0,2,5,20,49,127,6,97,10,10,10,10,9,10,"f","moderate","f","f",2,1.8,44,176,17,105,74,62,17,12,495
"within an hour",100,"f",2,2,"Montlake","Capitol Hill",47.63639418,-122.3024006,"House","Private room",2,0,1,1,"Real Bed",55,0,15,1,0,2,22,43,73,151,14,97,10,10,10,10,10,10,"f","moderate","f","f",2,4.2,44,173,92,105,75,62,17,17,568
"N/A",94.8888888888889,"f",1,1,"Montlake","Capitol Hill",47.63975661,-122.3222516,"Apartment","Private room",4,1,1,2,"Real Bed",115,0,0,2,20,2,26,56,86,318,12,98,10,10,10,10,10,10,"f","flexible","f","f",1,0.37,38,161,163,98,31,44,129,14,664
"within a few hours",100,"f",2,2,"Montlake","Capitol Hill",47.63744382,-122.3144271,"House","Entire home/apt",9,2.5,4,5,"Real Bed",750,0,75,6,0,2,0,0,0,0,17,99,10,10,10,10,10,10,"f","strict","f","f",2,0.77,47,174,58,0,0,50,33,15,362
"within an hour",100,"f",2,2,"Montlake","Capitol Hill",47.63849278,-122.3004965,"House","Private room",2,1,1,1,"Real Bed",55,0,25,1,0,2,23,51,81,356,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","t",2,0,44,144,7,29,0,22,91,20,337
"within a day",100,"f",1,1,"Montlake","Capitol Hill",47.63777471,-122.3199839,"House","Private room",2,1,1,1,"Real Bed",85,0,0,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,45,45,0,0,0,0,0,23,90
"N/A",94.8888888888889,"f",1,1,"Montlake","Capitol Hill",47.64003067,-122.2985028,"House","Entire home/apt",9,3.5,4,5,"Real Bed",400,150,150,6,0,2,3,3,3,201,5,100,10,10,10,10,10,10,"f","strict","f","f",1,0.67,39,167,136,90,47,52,11,20,542
"within a few hours",100,"f",2,2,"Montlake","Capitol Hill",47.63658517,-122.3158855,"House","Private room",2,1.5,1,1,"Real Bed",100,0,10,1,0,2,30,60,89,89,23,98,9,10,10,10,10,9,"f","moderate","f","f",2,1.01,20,163,65,0,0,40,33,11,321
"within a few hours",100,"f",1,1,"Montlake","Capitol Hill",47.63799192,-122.3040081,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",125,0,40,1,0,2,20,20,40,129,29,96,10,10,10,10,10,9,"f","moderate","f","f",1,3.21,38,161,92,130,0,34,49,16,504
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.61486054,-122.3154683,"House","Private room",1,1,1,1,"Real Bed",50,0,0,1,0,1,0,0,0,109,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,36,36,0,0,0,0,0,14,72
"within a few hours",100,"f",2,2,"Broadway","Capitol Hill",47.62413792,-122.3272755,"Apartment","Private room",1,1,1,1,"Real Bed",59,150,50,1,0,1,30,60,90,365,4,95,10,10,10,10,10,10,"f","strict","f","f",2,0.52,44,44,0,0,0,0,0,8,88
"within a day",50,"f",1,1,"Broadway","Capitol Hill",47.62105904,-122.3282201,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",122,250,50,1,50,1,30,60,90,179,12,94,10,10,10,10,10,9,"f","moderate","f","f",1,0.73,39,171,51,170,10,97,52,17,590
"within a few hours",100,"f",1,1,"Broadway","Capitol Hill",47.62836568,-122.3262605,"Apartment","Entire home/apt",6,2,2,2,"Real Bed",175,0,100,4,10,4,0,0,0,58,4,90,8,8,10,9,8,8,"f","moderate","f","f",1,0.09,0,158,158,0,0,0,15,15,331
"within a day",50,"f",1,1,"Broadway","Capitol Hill",47.62432001,-122.3260863,"Apartment","Entire home/apt",5,1,2,2,"Real Bed",150,0,50,1,0,1,30,60,90,365,3,100,10,10,10,10,10,9,"f","flexible","f","f",1,1.05,44,44,0,0,0,0,0,19,88
"within a day",50,"f",1,1,"Broadway","Capitol Hill",47.6163805,-122.3178662,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",80,0,15,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,41,41,0,0,0,0,0,4,82
"within a few hours",88,"f",1,1,"Broadway","Capitol Hill",47.6216865,-122.3206188,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",95,300,40,1,0,2,0,3,25,298,91,95,10,10,10,10,10,10,"f","strict","f","f",1,1.64,33,152,157,18,0,10,67,9,437
"within a day",100,"f",1,1,"Broadway","Capitol Hill",47.61817069,-122.3234438,"Condominium","Entire home/apt",2,1,0,1,"Real Bed",100,0,20,1,0,2,0,0,0,111,3,93,10,9,9,10,10,9,"f","moderate","f","f",1,0.92,32,52,0,0,20,0,0,19,104
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.6200209,-122.3228086,"Apartment","Entire home/apt",3,1,0,1,"Real Bed",175,0,50,2,20,1,0,26,56,331,8,93,8,9,10,10,10,9,"f","moderate","f","f",1,1.26,35,168,43,42,18,31,28,19,365
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.61506683,-122.3256092,"Apartment","Entire home/apt",4,1,1,3,"Real Bed",200,0,0,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,38,38,0,0,0,0,0,11,76
"within an hour",100,"f",3,3,"Broadway","Capitol Hill",47.61418122,-122.31407,"Apartment","Entire home/apt",4,2,2,2,"Real Bed",195,0,95,4,0,3,13,40,70,345,31,97,10,10,10,10,10,9,"f","strict","f","f",1,1.81,41,165,131,87,42,38,136,8,640
"within a few hours",100,"f",3,3,"Broadway","Capitol Hill",47.62251079,-122.3205147,"Apartment","Private room",2,1,1,1,"Real Bed",145,0,20,1,49,1,30,60,90,365,4,93,9,7,10,10,9,9,"f","strict","t","t",3,0.54,27,160,56,55,23,62,17,19,400
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.62072838,-122.321097,"Apartment","Entire home/apt",3,1,0,1,"Real Bed",100,0,15,1,0,1,5,5,5,5,16,96,10,10,10,10,10,10,"t","flexible","f","f",1,3.75,34,169,50,0,0,180,0,13,433
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.62474808,-122.320326,"Apartment","Entire home/apt",2,0.5,1,2,"Real Bed",90,0,0,1,15,2,1,1,1,1,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,49,194,0,80,27,4,0,17,354
"within a few hours",100,"f",7,7,"Broadway","Capitol Hill",47.61973382,-122.3227408,"Loft","Entire home/apt",3,1,1,1,"Real Bed",150,0,45,2,20,1,25,55,85,356,2,100,10,10,10,10,10,9,"f","flexible","f","f",7,2,32,176,178,184,55,157,82,13,864
"within a few hours",100,"f",2,2,"Broadway","Capitol Hill",47.6270529,-122.3195449,"House","Entire home/apt",9,3.5,5,5,"Real Bed",550,0,175,8,50,2,30,58,88,340,19,94,9,10,10,10,10,9,"f","strict","f","f",2,2.37,39,156,70,37,23,16,87,11,428
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.61495273,-122.3194119,"Apartment","Private room",2,1,1,1,"Real Bed",162,0,35,1,0,2,0,0,0,121,1,80,8,8,10,10,10,10,"f","flexible","f","f",1,0.24,34,113,32,0,0,0,4,13,183
"within a day",50,"f",1,1,"Broadway","Capitol Hill",47.62379136,-122.3165141,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",75,0,0,1,0,1,4,4,4,4,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,41,41,0,0,0,0,0,6,82
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.62687364,-122.3205175,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",185,0,25,1,0,5,0,0,0,140,1,100,10,10,10,10,10,10,"f","moderate","f","f",1,0.23,42,184,158,64,35,40,41,14,564
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.63349159,-122.3223028,"Townhouse","Private room",2,1,1,1,"Real Bed",50,0,25,1,15,1,16,46,76,351,3,100,10,9,10,10,10,10,"f","flexible","f","f",1,1.53,39,154,21,0,18,21,0,21,253
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.61755581,-122.3141887,"Apartment","Entire home/apt",6,1,0,3,"Real Bed",130,0,0,1,0,2,0,26,56,331,17,88,10,10,9,9,9,8,"t","flexible","f","f",1,3.09,50,90,0,10,0,14,0,8,164
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.62456396,-122.316615,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",230,0,0,1,0,3,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,25,25,0,0,0,0,0,13,50
"within a few hours",100,"f",1,1,"Broadway","Capitol Hill",47.62202933,-122.3138698,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",79,0,0,1,0,2,1,19,48,48,26,94,9,9,10,10,10,9,"f","flexible","f","f",1,1.85,14,117,24,17,11,13,0,9,196
"within a few hours",90,"f",1,1,"Broadway","Capitol Hill",47.62353431,-122.315566,"Apartment","Entire home/apt",2,1,0,1,"Pull-out Sofa",85,0,25,1,0,2,20,50,80,355,11,91,10,10,10,10,10,9,"f","moderate","f","f",1,0.79,44,186,186,137,19,85,134,8,791
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.62223016,-122.3140922,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",70,300,35,1,0,1,20,50,75,349,64,89,10,9,10,10,10,9,"f","moderate","f","f",1,3.54,41,179,75,78,29,13,52,8,467
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.62322021,-122.3152361,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",85,0,55,2,25,1,12,42,71,328,8,100,10,10,10,10,10,10,"f","moderate","f","f",1,6.15,34,156,62,39,98,27,84,20,500
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.62379966,-122.3190342,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",75,0,25,1,0,1,29,59,82,82,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,47,187,13,18,61,60,0,14,386
"within a day",100,"f",1,1,"Broadway","Capitol Hill",47.61627093,-122.325999,"Apartment","Entire home/apt",3,1,1,2,"Real Bed",95,0,20,1,0,1,0,0,0,0,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,46,195,66,0,5,39,28,10,379
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.62097652,-122.3160788,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",62,0,35,1,15,2,0,0,0,0,1,100,10,10,10,10,10,10,"t","moderate","f","f",1,0.28,40,171,0,55,28,34,17,9,345
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.62285599,-122.3170899,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",119,350,75,2,35,1,29,59,89,364,9,96,10,10,10,10,10,9,"f","moderate","f","f",1,1.67,46,182,78,51,0,61,0,14,418
"within an hour",100,"f",2,2,"Broadway","Capitol Hill",47.61982228,-122.3188161,"Apartment","Entire home/apt",5,1,1,1,"Real Bed",139,0,25,1,0,1,5,5,5,264,19,97,10,10,10,10,10,10,"t","flexible","f","f",2,6.71,40,176,90,78,0,29,54,13,467
"within a few hours",89,"f",1,1,"Broadway","Capitol Hill",47.61421561,-122.3255317,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",148,0,0,1,0,1,30,60,90,365,2,70,8,8,10,10,10,8,"f","moderate","f","f",1,1.36,52,175,27,48,0,34,0,11,336
"within an hour",100,"f",3,3,"Broadway","Capitol Hill",47.61596662,-122.3269378,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",79,100,72,1,25,2,19,19,19,102,278,89,9,8,9,10,9,9,"f","strict","t","f",3,5.57,38,166,171,98,184,180,224,8,1061
"within an hour",99,"f",17,17,"Broadway","Capitol Hill",47.62571499,-122.3173103,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",69,95,25,1,0,1,16,43,73,348,2,100,10,10,10,10,10,10,"t","moderate","f","f",15,2,40,173,66,15,23,45,0,15,362
"within an hour",99,"f",17,17,"Broadway","Capitol Hill",47.62524484,-122.3164943,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",59,95,25,1,0,1,0,0,2,277,1,80,10,10,10,10,10,8,"t","moderate","f","f",15,1,40,174,50,15,23,33,0,15,335
"within an hour",100,"f",3,3,"Broadway","Capitol Hill",47.61704199,-122.3268645,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",79,100,72,2,25,2,22,52,82,200,189,84,9,8,9,9,9,9,"f","strict","t","f",3,5.32,38,166,171,98,171,180,224,10,1048
"within a few hours",100,"f",2,2,"Broadway","Capitol Hill",47.61662017,-122.3237145,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,0,70,1,0,1000,30,60,90,363,8,93,9,8,9,10,10,9,"f","moderate","f","f",1,0.46,37,37,0,0,0,0,8,10,82
"within a day",70,"f",1,1,"Broadway","Capitol Hill",47.62795747,-122.3246695,"House","Entire home/apt",2,1,NA,1,"Real Bed",99,175,0,1,0,2,12,29,59,329,77,100,10,10,10,10,10,10,"f","moderate","f","f",1,2.28,30,161,157,50,15,0,166,17,579
"within an hour",100,"f",3,3,"Broadway","Capitol Hill",47.61531029,-122.3145245,"House","Entire home/apt",4,1,1,2,"Real Bed",100,200,45,4,50,1,23,53,83,356,28,90,9,10,10,9,10,8,"f","moderate","f","f",3,3,27,139,0,13,84,5,0,13,268
"within an hour",90,"f",1,1,"Broadway","Capitol Hill",47.61718399,-122.3182896,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",75,0,35,1,15,7,9,39,59,59,22,94,10,9,9,10,10,9,"t","moderate","f","f",1,2.28,33,171,43,36,43,4,52,15,382
"within an hour",99,"f",17,17,"Broadway","Capitol Hill",47.62562563,-122.318077,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",69,95,25,1,0,1,0,19,39,314,2,100,9,10,10,10,10,9,"t","moderate","f","f",15,1.2,40,173,66,15,23,58,0,18,375
"within a few hours",100,"f",1,1,"Broadway","Capitol Hill",47.61853364,-122.3185075,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",103,400,50,0,0,3,30,60,89,89,24,96,10,10,10,10,10,9,"f","moderate","f","f",1,2.93,36,173,22,49,0,46,0,11,326
"within a day",100,"f",1,1,"Broadway","Capitol Hill",47.61601587,-122.3235362,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",80,0,50,2,10,2,1,1,3,278,15,88,9,9,9,10,9,8,"f","moderate","f","f",1,1.35,10,175,175,170,46,102,36,13,714
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.61918172,-122.325793,"Apartment","Private room",2,1,1,1,"Airbed",150,0,6,1,0,1,0,0,0,105,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,84,185,75,0,128,46,80,17,598
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.61624964,-122.3222921,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",120,0,0,1,0,1,30,60,90,365,5,72,9,7,10,10,9,7,"f","flexible","f","f",1,1.28,44,191,43,44,0,52,0,11,374
"within an hour",100,"f",2,2,"Broadway","Capitol Hill",47.61815864,-122.3191845,"House","Private room",2,1,1,1,"Real Bed",65,0,0,1,0,2,20,50,80,355,6,87,10,10,10,10,10,9,"f","flexible","f","f",2,2.22,51,51,0,0,0,0,16,0,118
"within a day",100,"f",1,1,"Broadway","Capitol Hill",47.61541249,-122.3249676,"Condominium","Entire home/apt",4,1,1,2,"Real Bed",110,200,65,2,25,2,12,12,12,167,5,92,9,10,9,9,10,9,"f","strict","f","f",1,2.63,38,179,50,74,58,50,152,20,601
"within a few hours",100,"f",2,2,"Broadway","Capitol Hill",47.63698256,-122.3217332,"Apartment","Entire home/apt",6,2,3,3,"Real Bed",395,250,175,1,0,4,1,1,4,279,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",2,0,17,17,0,0,0,0,0,15,34
"within an hour",100,"f",3,3,"Broadway","Capitol Hill",47.61419077,-122.3238923,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",98,150,15,2,50,1,16,43,71,72,22,96,10,9,10,10,10,9,"f","moderate","f","f",2,1.69,36,168,8,133,21,53,15,21,434
"within a few hours",100,"f",3,3,"Broadway","Capitol Hill",47.62545592,-122.3217415,"Apartment","Entire home/apt",8,2,2,3,"Real Bed",325,150,40,2,50,1,30,60,90,365,23,90,9,9,9,10,10,9,"f","strict","t","t",3,0.81,34,162,77,69,42,120,17,18,521
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.62379452,-122.3197506,"Apartment","Entire home/apt",4,1,0,2,"Pull-out Sofa",90,100,40,2,20,1,30,60,90,365,2,90,10,10,10,10,10,10,"t","moderate","f","f",1,2,38,150,0,48,0,19,86,16,341
"within a few hours",78,"f",1,1,"Broadway","Capitol Hill",47.62046897,-122.3186347,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",110,0,15,1,0,2,9,9,9,9,20,97,10,10,10,10,9,10,"f","flexible","f","f",1,2.68,39,109,70,0,0,0,0,10,218
"within a day",67,"f",1,1,"Broadway","Capitol Hill",47.62355702,-122.3151501,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",70,100,50,1,0,1,8,21,21,27,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,46,202,71,59,19,23,6,17,426
"within a few hours",100,"f",2,2,"Broadway","Capitol Hill",47.61640667,-122.32769,"Apartment","Entire home/apt",5,2,2,2,"Real Bed",210,150,40,2,0,1,24,54,84,359,10,96,10,8,10,9,10,9,"f","strict","f","f",1,2.21,79,171,75,105,34,56,0,17,520
"within a few hours",100,"f",10,10,"Broadway","Capitol Hill",47.62383113,-122.3193042,"House","Private room",2,2,1,1,"Real Bed",49,250,39,1,9,2,0,0,0,2,11,100,10,10,10,10,10,10,"f","flexible","t","t",9,0.37,0,169,169,0,0,0,87,13,425
"within a few hours",100,"f",1,1,"Broadway","Capitol Hill",47.62442077,-122.317179,"Apartment","Entire home/apt",3,1,0,1,"Real Bed",120,0,20,1,0,1,30,60,90,365,6,100,9,9,10,10,10,9,"f","flexible","f","f",1,1.82,37,166,141,83,31,116,53,10,627
"within an hour",100,"f",2,2,"Broadway","Capitol Hill",47.62303614,-122.3264772,"Cabin","Entire home/apt",3,1,1,1,"Real Bed",210,0,35,2,30,1,10,40,70,345,25,95,10,9,10,10,10,10,"f","moderate","f","f",2,1.96,40,180,190,62,31,130,67,11,700
"within an hour",100,"f",18,18,"Broadway","Capitol Hill",47.62198976,-122.3222552,"Apartment","Private room",1,1,1,1,"Real Bed",62,0,0,1,0,2,4,27,57,331,71,87,9,9,10,10,10,9,"f","moderate","f","f",18,3.88,44,184,188,0,170,178,31,17,795
"within a day",100,"f",1,1,"Broadway","Capitol Hill",47.62239745,-122.3224995,"House","Private room",2,1.5,1,1,"Real Bed",90,0,25,1,30,4,0,17,17,146,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,45,196,26,32,0,42,28,12,369
"within an hour",100,"f",2,2,"Broadway","Capitol Hill",47.61887953,-122.317957,"Apartment","Private room",2,1,1,1,"Real Bed",58,0,25,2,20,1,20,50,80,355,117,94,10,10,10,10,10,9,"f","strict","f","f",2,7.45,41,184,65,48,37,130,106,21,611
"within a few hours",100,"f",1,1,"Broadway","Capitol Hill",47.62068045,-122.3231585,"Loft","Private room",2,1.5,1,1,"Real Bed",81,0,0,1,0,1,27,57,87,362,3,93,9,9,10,10,10,9,"f","flexible","f","f",1,1.73,47,187,10,31,50,72,129,12,526
"within an hour",100,"f",7,7,"Broadway","Capitol Hill",47.61637313,-122.3246077,"Condominium","Entire home/apt",6,1,2,3,"Real Bed",99,120,100,2,25,1,30,60,90,365,3,80,8,8,8,8,10,6,"f","strict","f","f",2,1.15,64,169,180,168,24,20,0,27,625
"a few days or more",25,"f",1,1,"Broadway","Capitol Hill",47.61487388,-122.3141773,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",150,700,100,4,25,1,30,60,90,365,3,100,10,9,10,10,9,10,"f","moderate","f","f",1,0.18,44,178,178,47,29,164,153,6,793
"within an hour",100,"f",18,18,"Broadway","Capitol Hill",47.6234304,-122.3227508,"House","Private room",2,1,1,1,"Real Bed",64,0,0,2,0,2,8,38,68,343,55,88,9,8,10,10,10,9,"f","strict","f","f",18,2.98,46,187,188,0,61,88,31,18,601
"within a day",100,"f",3,3,"Broadway","Capitol Hill",47.6199512,-122.3166472,"House","Entire home/apt",4,2,2,2,"Real Bed",160,0,75,1,0,2,30,60,90,365,13,95,9,9,10,10,10,9,"f","moderate","f","t",3,0.35,37,176,140,21,51,14,15,9,454
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.62217811,-122.3175717,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",155,750,75,2,0,1,28,58,88,363,15,98,9,9,10,10,10,9,"f","moderate","f","f",1,0.61,34,187,191,16,0,26,43,10,497
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.6203995,-122.3174677,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",135,0,0,1,0,1,2,2,2,95,8,88,9,9,9,10,9,8,"f","flexible","f","f",1,1.46,39,39,0,0,0,0,0,9,78
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.61701929,-122.327147,"Apartment","Entire home/apt",4,2,2,3,"Real Bed",275,0,0,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,40,140,32,39,0,1,0,10,252
"within a few hours",100,"f",7,7,"Broadway","Capitol Hill",47.61810684,-122.3229318,"House","Private room",2,1,1,1,"Real Bed",85,0,30,1,10,1,24,54,84,355,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",7,0,36,181,180,184,55,148,82,8,866
"within a few hours",100,"f",7,7,"Broadway","Capitol Hill",47.61945298,-122.321126,"House","Private room",2,1,1,1,"Real Bed",85,0,30,1,10,1,25,55,85,356,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",7,0,34,174,176,166,55,124,82,10,811
"within an hour",100,"f",2,2,"Broadway","Capitol Hill",47.61724116,-122.3177266,"House","Private room",4,1,1,2,"Real Bed",75,0,0,1,10,2,17,47,76,76,134,80,8,8,9,9,9,8,"t","strict","f","f",2,5.63,41,96,43,0,0,12,16,8,208
"within a few hours",100,"f",2,2,"Broadway","Capitol Hill",47.62619295,-122.3199551,"House","Private room",2,1,1,1,"Real Bed",120,0,25,1,0,1,27,57,87,362,36,97,10,10,10,10,10,10,"f","moderate","f","f",2,4.14,40,171,77,114,35,26,87,9,550
"within an hour",90,"f",37,37,"Broadway","Capitol Hill",47.62388332,-122.3195886,"House","Private room",2,0.5,1,1,"Real Bed",79,350,35,1,18,4,30,60,90,365,10,72,8,6,9,9,10,8,"f","strict","f","f",37,0.36,0,169,169,0,0,0,103,7,441
"within a few hours",100,"f",3,3,"Broadway","Capitol Hill",47.62491803,-122.3260381,"House","Private room",2,1.5,1,2,"Real Bed",79,150,25,2,49,1,25,51,76,340,132,95,10,10,10,10,10,9,"f","flexible","f","f",3,5.34,44,181,66,17,72,78,42,16,500
"within an hour",100,"f",1,1,"Broadway","Capitol Hill",47.62600263,-122.323306,"Townhouse","Entire home/apt",4,2.5,2,2,"Real Bed",245,1000,180,1,0,3,10,33,59,334,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,39,166,115,51,0,31,214,19,616
"N/A",94.8888888888889,"f",1,1,"Broadway","Capitol Hill",47.61973814,-122.32101,"Apartment","Private room",2,1,1,1,"Real Bed",220,0,0,1,0,1,0,0,0,132,2,100,10,10,10,10,10,10,"f","flexible","f","f",1,0.43,21,21,0,0,0,0,7,10,49
"within a day",78,"f",1,1,"Broadway","Capitol Hill",47.61699468,-122.3254853,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",109,0,0,1,0,1,0,0,0,212,7,89,10,10,9,9,8,9,"f","flexible","f","f",1,1,39,182,22,34,22,30,0,12,329
"within an hour",100,"f",2,2,"Broadway","Capitol Hill",47.61794177,-122.3168816,"Apartment","Entire home/apt",4,1,0,2,"Real Bed",79,200,65,3,15,3,24,49,72,161,5,100,10,10,10,10,10,10,"t","strict","f","f",2,0.96,44,173,39,126,66,27,123,16,598
"within an hour",90,"f",1,1,"Broadway","Capitol Hill",47.6197316,-122.316815,"Apartment","Shared room",2,1,1,2,"Real Bed",45,0,25,1,10,1,14,14,14,279,15,97,9,9,10,10,10,9,"t","moderate","f","f",1,3.54,43,186,56,51,72,180,0,16,588
